row_index,p10,p50,p90,prob_band,hhid
3050,0.9543787369383354,0.9764215340880869,0.9877285908446585,Likely Flourishing,23068655
3051,0.020204716142556107,0.033802449256008324,0.055949571098247275,At-Risk,23006585
3052,0.6568747407894515,0.7570933100161112,0.8373525001401722,Likely Flourishing,23365748
3053,0.9999650031588325,0.9999777372140006,0.9999859492334394,Likely Flourishing,23227909
3054,0.0012026209680631697,0.0023777630798837122,0.00466351388168219,At-Risk,23045055
3055,6.8336877661859666e-09,5.700154649334782e-08,5.061909219478495e-07,At-Risk,23121965
3056,0.9936946789495932,0.9966079018670946,0.998135585468711,Likely Flourishing,23314097
3057,0.9998524185358327,0.9999335336554254,0.9999699020117281,Likely Flourishing,23275653
3058,0.9640911708143827,0.978352551866323,0.9862984544233935,Likely Flourishing,23222227
3059,0.9999870630457238,0.9999917301672223,0.9999947811174852,Likely Flourishing,23038297
3060,0.9819818073153228,0.9936372411292991,0.99769328420042,Likely Flourishing,23266441
3061,0.9999441277343912,0.9999648838895716,0.9999771793794725,Likely Flourishing,23306854
3062,0.9999987762384474,0.9999995107965454,0.9999998134368978,Likely Flourishing,23250388
3063,0.8829707063761901,0.9294970004065297,0.9590473500652229,Likely Flourishing,23352508
3064,7.182702091251739e-08,2.406662852716922e-07,9.043721187639885e-07,At-Risk,23112740
3065,0.9999886982341564,0.9999950303506082,0.9999976177940126,Likely Flourishing,23118836
3066,0.015885852887916604,0.024599069962607183,0.03788838172172903,At-Risk,23286087
3067,0.5637556168239127,0.7207798766340474,0.8402109961819717,Likely Flourishing,23362925
3068,2.7317438844481066e-07,8.227455888801668e-07,2.402407119301256e-06,At-Risk,23209033
3069,0.9999424951085873,0.9999662338508479,0.9999798514212006,Likely Flourishing,23336050
3070,0.6334949139827705,0.7236302682598122,0.8031898459820289,Likely Flourishing,23200179
3071,0.9172596094876491,0.9411636755290309,0.959733960755265,Likely Flourishing,23338546
3072,0.98015217887027,0.9944202756313987,0.9984962369146559,Likely Flourishing,23162004
3073,0.16946732225905875,0.24615356798718918,0.34718213961290917,At-Risk,23315572
3074,1.6004960890787394e-08,6.392994324026478e-08,2.716954840346093e-07,At-Risk,23238666
3075,1.7305377784882864e-11,1.5427596602411844e-10,1.5139471594769004e-09,At-Risk,23084958
3076,0.9999637720380643,0.9999754307971056,0.999983471372156,Likely Flourishing,23377132
3077,0.9999863079414923,0.9999950912276943,0.9999980824494389,Likely Flourishing,23046465
3078,0.5317729971845554,0.6698368671322357,0.7830609436975448,Likely Flourishing,23153172
3079,0.9796354918544089,0.9892836615744901,0.9942982592043071,Likely Flourishing,23046468
3080,0.9193149674587303,0.9649819367550605,0.9843048499013876,Likely Flourishing,23353940
3081,8.02113096034912e-06,1.6784463003521963e-05,3.426049528019628e-05,At-Risk,23146420
3082,0.0009670521214189507,0.001435427344168423,0.0021357070359894125,At-Risk,23213138
3083,8.652673415156244e-05,0.00017102878775344612,0.0003453129418290281,At-Risk,23213139
3084,0.9264417872209579,0.9458302510439368,0.9610861185774393,Likely Flourishing,23084963
